epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.413,1.58281,1.60671,1.1618,0.83263,0.81989,0.89421,0.55552,1.36218,0.89841,1.1358,0.000208036,0.000208036,0.000208036
2,317.577,1.39183,0.88668,1.0826,0.90379,0.88474,0.95063,0.61185,1.3159,0.722,1.12538,0.000395759,0.000395759,0.000395759
3,471.558,1.35045,0.79669,1.06884,0.93126,0.90336,0.96511,0.6403,1.27656,0.66943,1.10237,0.000562857,0.000562857,0.000562857
4,623.712,1.31663,0.7429,1.05871,0.92869,0.92369,0.96755,0.65394,1.22615,0.63259,1.0836,0.000532187,0.000532187,0.000532187
5,774.888,1.27543,0.70899,1.04176,0.93424,0.93165,0.97486,0.67275,1.21707,0.59849,1.08169,0.00050125,0.00050125,0.00050125
6,926.264,1.23896,0.65952,1.02789,0.95374,0.94198,0.98158,0.70093,1.13529,0.55098,1.04224,0.000470312,0.000470312,0.000470312
7,1076.4,1.19507,0.62598,1.01028,0.95819,0.94035,0.98294,0.70864,1.12792,0.53209,1.02975,0.000439375,0.000439375,0.000439375
8,1227.31,1.18774,0.61465,1.00755,0.95787,0.95016,0.98426,0.72339,1.07808,0.50512,1.01172,0.000408438,0.000408438,0.000408438
9,1380.27,1.14893,0.57975,0.99067,0.96388,0.95232,0.98564,0.73509,1.03895,0.47743,0.99232,0.0003775,0.0003775,0.0003775
10,1532.14,1.13126,0.56763,0.98653,0.96476,0.96053,0.98629,0.73419,1.03727,0.47744,0.99176,0.000346563,0.000346563,0.000346563
11,1690.48,1.12736,0.50225,1.01168,0.96966,0.95977,0.98741,0.74833,1.00479,0.46393,0.98182,0.000315625,0.000315625,0.000315625
12,1837.74,1.0919,0.48281,0.99922,0.96435,0.96116,0.98703,0.74765,1.01943,0.4585,0.99451,0.000284688,0.000284688,0.000284688
13,1985.09,1.07117,0.46564,0.99171,0.97387,0.96766,0.98894,0.75438,0.97982,0.4298,0.97038,0.00025375,0.00025375,0.00025375
14,2132.32,1.05481,0.45845,0.98678,0.9739,0.96946,0.9901,0.75951,0.98504,0.42701,0.97168,0.000222813,0.000222813,0.000222813
15,2280.09,1.03248,0.43963,0.98051,0.9752,0.97445,0.99055,0.77077,0.94328,0.40124,0.95937,0.000191875,0.000191875,0.000191875
16,2427.6,1.01793,0.42948,0.97217,0.97754,0.9703,0.99015,0.77343,0.94492,0.39556,0.96029,0.000160938,0.000160938,0.000160938
17,2575.34,0.9986,0.41636,0.9631,0.98184,0.97375,0.99037,0.77837,0.91399,0.38278,0.94391,0.00013,0.00013,0.00013
18,2723.17,0.98085,0.40616,0.95858,0.98171,0.97683,0.99216,0.78577,0.90549,0.37648,0.94008,9.90625e-05,9.90625e-05,9.90625e-05
19,2871.98,0.96753,0.39881,0.95531,0.98004,0.97894,0.99168,0.78754,0.89504,0.37291,0.93823,6.8125e-05,6.8125e-05,6.8125e-05
20,3021.76,0.95283,0.39264,0.95161,0.98455,0.98099,0.99194,0.79127,0.88252,0.36141,0.93586,3.71875e-05,3.71875e-05,3.71875e-05
